2018-09-16 22:30:14,b'RT @TommyRo89943568: Based Amy - Tommy Robinson - CASH REWARD @realbasedamy @ActivePatriots @ActivePatriots @DAYFORFREEDOM4 @trotman_deirdr\xe2\x80\xa6',Exposed_uk,Exposed_Uktruth,United Kingdom,168,0
2018-09-16 22:30:01,b'The Rimier Use #band #name #bandname #generated #computergenerated',Band Name Generator,band_name_gen,"Rockville, MD",0,0
2018-09-16 22:23:14,b'RT @TommyRo89943568: Based Amy - Tommy Robinson - CASH REWARD @realbasedamy @ActivePatriots @ActivePatriots @DAYFORFREEDOM4 @trotman_deirdr\xe2\x80\xa6',鹰眼,somethingnotbad,"Birmingham, England",168,0
2018-09-16 22:22:30,b'RT @TommyRo89943568: Based Amy - Attack Update - Tommy Robinson - CASH REWARD https://t.co/iqc0GUwbU4 @realbasedamy @ActivePatriots @Active\xe2\x80\xa6',dare to dream,daretod23168263,,27,0
2018-09-16 22:19:14,b'RT @TommyRo89943568: Based Amy - Tommy Robinson - CASH REWARD @realbasedamy @ActivePatriots @ActivePatriots @DAYFORFREEDOM4 @trotman_deirdr\xe2\x80\xa6',dare to dream,daretod23168263,,168,0
2018-09-16 22:09:28,b'RT @cbatestn: Now Available: #Chicago #Bears #NFL Chicago Bears #Name and #Number Chicago Bears Team #Jersey - NWT! #CHI #BearsFootball #Mo\xe2\x80\xa6',Gordon Nilsson,GNilsson45,,1,0
2018-09-16 22:08:08,b'Write your #name with below sign.\xf0\x9f\x91\x87\xf0\x9f\x8f\xbb\nA\xf0\x9f\x98\x8d      B\xe2\x9d\xa4      C\xf0\x9f\x92\x95      D\xf0\x9f\x90\xb1     E\xf0\x9f\x98\x98        \n\nF\xf0\x9f\x8c\xb9      G\xf0\x9f\x98\x9a      H\xf0\x9f\x8d\xad      I\xf0\x9f\x92\xa7       J\xf0\x9f\x92\x8b\xe2\x80\xa6 https://t.co/FD8r5kvxUy',Shahryar Hasan,Shahryar_Hasan,"Sindh, Pakistan",0,0
2018-09-16 22:06:14,b'Now Available: #Chicago #Bears #NFL Chicago Bears #Name and #Number Chicago Bears Team #Jersey - NWT! #CHI\xe2\x80\xa6 https://t.co/NF8r82PWY6',Craig Bates,cbatestn,"Knoxville, TN, USA",1,0
2018-09-16 21:55:02,b'RT @TommyRo89943568: Based Amy - Tommy Robinson - CASH REWARD @realbasedamy @ActivePatriots @ActivePatriots @DAYFORFREEDOM4 @trotman_deirdr\xe2\x80\xa6',Obviously UK 🇬🇧,batterypowwer,"North East, England",168,0
2018-09-16 21:54:18,b'RT @TommyRo89943568: Based Amy - Attack Update - Tommy Robinson - CASH REWARD https://t.co/iqc0GUwbU4 @realbasedamy @ActivePatriots @Active\xe2\x80\xa6',Obviously UK 🇬🇧,batterypowwer,"North East, England",27,0
2018-09-16 21:51:00,"b'https://t.co/JemtmMWnD4 A new #brand for sale: Xuje. Short, intriguing #name for any modern #business. https://t.co/tnowxs7r9N'",Nametory,Nametory,"Oxford, England",4,1
2018-09-16 21:48:46,b'RT @TommyRo89943568: Based Amy - Tommy Robinson - CASH REWARD @realbasedamy @ActivePatriots @ActivePatriots @DAYFORFREEDOM4 @trotman_deirdr\xe2\x80\xa6',Johnny English ❌,Bogseatrader,"Melton, England",168,0
2018-09-16 21:42:01,b'RT @TommyRo89943568: Based Amy - Tommy Robinson - CASH REWARD @realbasedamy @ActivePatriots @ActivePatriots @DAYFORFREEDOM4 @trotman_deirdr\xe2\x80\xa6',keith blakeney,KeithKaith,Basingstoke,168,0
2018-09-16 21:41:30,"b'RT @Chinmayananda: Chant His #name always- be you in #work, walking, relaxing, in sorrow, in #joy or in any other cirumstance. \n\n#LordGanes\xe2\x80\xa6'",Anurag Sharma,anuragsocial,"Indraprasth, Hindustan",27,0
2018-09-16 21:30:01,b'Jolly The Tipsiest Mist #band #name #bandname #generated #computergenerated',Band Name Generator,band_name_gen,"Rockville, MD",0,0
2018-09-16 21:26:00,b'RT @TommyRo89943568: Based Amy - Tommy Robinson - CASH REWARD @realbasedamy @ActivePatriots @ActivePatriots @DAYFORFREEDOM4 @trotman_deirdr\xe2\x80\xa6',Julie Carey,Julie34479,uk,168,0
2018-09-16 21:23:01,b'Did you know you can use  a #Range #Name in the Go To option of Find &amp; Select in #Excel',Excel Itch,ExcelItch,,0,1
